arm,field,macro_f1_full,macro_f1_eval,balanced_acc_eval,coverage,over_confidence
ML,location,0.2912,0.3442,0.3578,0.8121,0.7708
ML,activity,0.2932,0.2833,0.3175,0.9493,0.86
ML,companion,0.4228,0.4025,0.4213,0.3903,0.3391
LLM,location,,0.2477,0.2911,0.8495,0.9115
LLM,activity,,0.2287,0.2527,0.9406,0.92
LLM,companion,,0.2869,0.3349,0.0112,0.0104
TF-feature,location,0.1811,0.2706,0.3005,0.9474,0.9271
TF-feature,activity,0.1491,0.141,0.2371,0.9384,0.94
TF-feature,companion,0.3632,0.3064,0.4403,0.6658,0.6417
TF-group,location,0.2156,0.3336,0.3502,0.9507,0.9167
TF-group,activity,0.2356,0.2574,0.3402,0.9217,0.9
TF-group,companion,0.3617,0.3439,0.4948,0.6758,0.6383
TF-temporal,location,0.2548,0.3683,0.4024,0.9461,0.9115
TF-temporal,activity,0.2519,0.2547,0.3555,0.9326,0.92
TF-temporal,companion,0.3794,0.3266,0.4456,0.6783,0.6626
