pair,field,gap,ci_lo,ci_hi,verdict
TF-feature-ML,location,-0.0736,-0.1069,-0.0234,ML wins
TF-feature-ML,activity,-0.1423,-0.1805,-0.1012,ML wins
TF-feature-ML,companion,-0.0961,-0.1468,-0.0295,ML wins
TF-group-ML,location,-0.0106,-0.0317,0.0212,tie
TF-group-ML,activity,-0.0259,-0.0692,0.0137,tie
TF-group-ML,companion,-0.0586,-0.1333,0.0134,tie
TF-temporal-ML,location,0.0241,0.0006,0.0569,TF-temporal wins
TF-temporal-ML,activity,-0.0286,-0.0795,0.0198,tie
TF-temporal-ML,companion,-0.0759,-0.1244,-0.0191,ML wins
TF-feature-LLM,location,0.0229,-0.0071,0.0457,tie
TF-feature-LLM,activity,-0.0877,-0.1346,-0.0427,LLM wins
TF-feature-LLM,companion,0.0196,-0.0227,0.0589,tie
TF-group-LLM,location,0.0859,0.0405,0.1208,TF-group wins
TF-group-LLM,activity,0.0287,-0.0292,0.0772,tie
TF-group-LLM,companion,0.057,-0.0076,0.1071,tie
TF-temporal-LLM,location,0.1206,0.0742,0.1567,TF-temporal wins
TF-temporal-LLM,activity,0.026,-0.0267,0.079,tie
TF-temporal-LLM,companion,0.0398,-0.0224,0.0891,tie
TF-feature-TF-group,location,-0.063,-0.0918,-0.0276,TF-group wins
TF-feature-TF-group,activity,-0.1164,-0.1492,-0.0793,TF-group wins
TF-feature-TF-group,companion,-0.0375,-0.0786,0.0143,tie
TF-feature-TF-temporal,location,-0.0977,-0.1289,-0.057,TF-temporal wins
TF-feature-TF-temporal,activity,-0.1137,-0.1407,-0.0857,TF-temporal wins
TF-feature-TF-temporal,companion,-0.0202,-0.062,0.0279,tie
TF-group-TF-temporal,location,-0.0347,-0.0567,-0.0149,TF-temporal wins
TF-group-TF-temporal,activity,0.0027,-0.0375,0.0422,tie
TF-group-TF-temporal,companion,0.0173,-0.0189,0.0535,tie
